Place,Population,Per Capita Income,Poverty Count,Poverty Rate
"Metcalfe County, Kentucky",10036,19121,3918,43.9%
"Monroe County, Kentucky",10627,23481,4394,41.4%
"Montgomery County, Kentucky",27884,22381,11657,39.7%
"Morgan County, Kentucky",13288,18310,3699,42%
"Muhlenberg County, Kentucky",30951,22612,11945,42.4%
"Nelson County, Kentucky",45650,32735,21654,39.8%
"Nicholas County, Kentucky",7153,22212,2821,41.1%
"Ohio County, Kentucky",24071,24297,9677,40.3%
"Oldham County, Kentucky",65967,42272,31732,38.9%
"Owen County, Kentucky",10796,25640,4488,42.8%
"Owsley County, Kentucky",4442,18940,1262,43.4%
"Pendleton County, Kentucky",14572,24120,6497,40.6%
"Perry County, Kentucky",26624,23135,8855,41.2%
"Pike County, Kentucky",59497,22437,20047,42.5%
"Powell County, Kentucky",12304,20841,4936,38.6%
"Pulaski County, Kentucky",64350,24646,25852,42%
"Robertson County, Kentucky",2123,22552,821,42.9%
"Rockcastle County, Kentucky",16820,20892,6124,42.7%
"Rowan County, Kentucky",24507,20488,10155,30.6%
"Russell County, Kentucky",17778,20674,6759,43.3%
"Scott County, Kentucky",54667,32796,28293,36.2%
"Shelby County, Kentucky",47325,32468,23414,39.4%
"Simpson County, Kentucky",18183,24458,8082,39%
"Spencer County, Kentucky",18680,33661,9737,42.1%
"Taylor County, Kentucky",25571,23602,11199,37.6%
"Todd County, Kentucky",12316,23143,4702,37.8%
"Trigg County, Kentucky",14449,28264,5685,46.2%
"Trimble County, Kentucky",8558,27237,3814,43.4%
"Union County, Kentucky",14638,23097,6064,38.1%
"Warren County, Kentucky",128652,28558,64595,32.8%
"Washington County, Kentucky",12023,26035,5775,40.7%
"Wayne County, Kentucky",20546,25707,7377,42.5%
"Webster County, Kentucky",13068,22911,4935,41%
"Whitley County, Kentucky",36131,20547,12811,36.6%
"Wolfe County, Kentucky",7207,14923,1774,41.8%
"Woodford County, Kentucky",26318,32264,12870,42.5%
"Acadia Parish, Louisiana",62457,23122,25238,36.7%
"Allen Parish, Louisiana",25618,20964,8686,38.2%
"Ascension Parish, Louisiana",123114,34168,59423,35.7%
"Assumption Parish, Louisiana",22478,25752,9265,40.9%
"Avoyelles Parish, Louisiana",40669,22017,14953,38.2%
"Beauregard Parish, Louisiana",37043,26331,14342,37.4%
"Bienville Parish, Louisiana",13564,21491,4661,41.9%
"Bossier Parish, Louisiana",126499,28766,54094,35.3%
"Caddo Parish, Louisiana",245831,26545,103071,37.7%
"Calcasieu Parish, Louisiana",201619,28778,89962,36.1%
"Caldwell Parish, Louisiana",9992,23216,3355,39.8%
"Cameron Parish, Louisiana",6930,28358,3148,44.1%
"Catahoula Parish, Louisiana",9766,22412,3386,38.1%
"Claiborne Parish, Louisiana",15985,16770,5193,42%
"Concordia Parish, Louisiana",19778,19092,6541,37.7%
"De Soto Parish, Louisiana",27289,26767,10811,39.3%
"East Baton Rouge Parish, Louisiana",443763,32431,217043,34%
"East Carroll Parish, Louisiana",7096,19483,1359,33.9%
"East Feliciana Parish, Louisiana",19371,23612,6502,42.9%
"Evangeline Parish, Louisiana",33589,18770,11740,35.7%
"Franklin Parish, Louisiana",20238,19206,6796,38.4%
"Grant Parish, Louisiana",22340,18801,7499,38.1%
"Iberia Parish, Louisiana",71887,23290,30188,36.5%
"Iberville Parish, Louisiana",32822,23751,12795,38.4%
"Jackson Parish, Louisiana",15879,21594,5559,40.9%
"Jefferson Parish, Louisiana",434850,30374,210542,39.4%
"Jefferson Davis Parish, Louisiana",31441,25474,12292,37.8%
"Lafayette Parish, Louisiana",241973,31892,119065,35.2%
"Lafourche Parish, Louisiana",98108,28683,43281,37.8%
"LaSalle Parish, Louisiana",14936,21654,5271,38.8%
"Lincoln Parish, Louisiana",47246,22863,20796,28.3%
"Livingston Parish, Louisiana",138928,29354,63662,36.6%
"Madison Parish, Louisiana",11306,16671,3414,35.2%
"Morehouse Parish, Louisiana",25610,18494,9217,39.9%
"Natchitoches Parish, Louisiana",38769,19198,12171,33.7%
"Orleans Parish, Louisiana",390845,31385,181973,36.8%
"Ouachita Parish, Louisiana",155494,24361,63687,35.7%
"Plaquemines Parish, Louisiana",23338,29258,9689,36.5%
"Pointe Coupee Parish, Louisiana",22016,28180,8952,43.1%
"Rapides Parish, Louisiana",130970,25984,54389,37.4%
"Red River Parish, Louisiana",8565,22924,3226,39.4%
"Richland Parish, Louisiana",20350,20107,7731,38.8%
"Sabine Parish, Louisiana",23991,22687,8112,41.1%
"St. Bernard Parish, Louisiana",46266,20763,18851,34.2%
"St. Charles Parish, Louisiana",52773,32935,24457,37.9%
"St. Helena Parish, Louisiana",10297,24380,3812,39.4%
"St. James Parish, Louisiana",21308,26739,9051,39.2%
"St. John the Baptist Parish, Louisiana",43242,25968,18972,36.8%
"St. Landry Parish, Louisiana",83172,21162,31300,36.7%
"St. Martin Parish, Louisiana",53732,24997,22634,37.7%
"St. Mary Parish, Louisiana",50968,22839,19256,39%
"St. Tammany Parish, Louisiana",255155,34658,117839,40.2%
"Tangipahoa Parish, Louisiana",132057,25163,57761,35.3%
"Tensas Parish, Louisiana",4561,15912,1332,43.4%
"Terrebonne Parish, Louisiana",112054,25924,46657,35.8%
"Union Parish, Louisiana",22353,24030,8620,42.1%
"Vermilion Parish, Louisiana",59865,25342,24330,38%
"Vernon Parish, Louisiana",49646,24554,16340,30.4%
"Washington Parish, Louisiana",46435,20177,17372,39.4%
"Webster Parish, Louisiana",39242,18962,14567,41.4%
"West Baton Rouge Parish, Louisiana",26101,29697,12525,36.3%
"West Carroll Parish, Louisiana",11041,22439,3767,40.3%
"West Feliciana Parish, Louisiana",15428,26945,6042,41.4%
"Winn Parish, Louisiana",14313,22107,5193,41.1%
"Androscoggin County, Maine",107602,28956,54573,41%
"Aroostook County, Maine",67809,25477,29593,48%
"Cumberland County, Maine",292307,40527,163077,42.2%
"Franklin County, Maine",29982,27252,14474,46.3%
"Hancock County, Maine",54601,34361,27238,48.8%
"Kennebec County, Maine",121753,30685,59678,44.4%
"Knox County, Maine",39759,33126,19979,48.4%
"Lincoln County, Maine",34201,33595,16426,51%
"Oxford County, Maine",57550,25464,26073,47%
"Penobscot County, Maine",151774,28523,72962,42%
"Piscataquis County, Maine",16836,24074,6403,51.5%
"Sagadahoc County, Maine",35452,34675,18674,46.9%
"Somerset County, Maine",50520,24386,21939,46.4%
"Waldo County, Maine",39539,29674,18889,46.2%
"Washington County, Maine",31491,25157,12571,48.1%
"York County, Maine",204316,36093,107868,45.2%
"Allegany County, Maryland",71445,23607,28291,41.7%
"Anne Arundel County, Maryland",571275,46629,292548,38.3%
"Baltimore County, Maryland",828018,40105,422955,39.4%
"Calvert County, Maryland",91511,45783,46981,40.7%
"Caroline County, Maryland",33049,29624,16071,39.7%
"Carroll County, Maryland",167699,42083,87632,42.4%
"Cecil County, Maryland",102552,34810,51057,40.8%
"Charles County, Maryland",159428,41717,80788,38.4%
"Dorchester County, Maryland",32138,30293,14860,44.6%
"Frederick County, Maryland",251422,43582,134149,39.1%
"Garrett County, Maryland",29235,30617,13870,46.2%
"Harford County, Maryland",252222,41147,130345,40.9%
"Howard County, Maryland",318855,54628,170318,38.8%
"Kent County, Maryland",19536,36813,9304,48.1%
"Montgomery County, Maryland",1043530,54510,560950,39.2%
"Prince George's County, Maryland",908670,37191,483867,37.1%
"Queen Anne's County, Maryland",49632,44754,25558,44.4%
"St. Mary's County, Maryland",112290,40354,55220,36.7%
"Somerset County, Maryland",25729,18772,8888,36.2%
"Talbot County, Maryland",37167,49136,17732,50.5%
"Washington County, Maryland",150109,30464,68511,40.5%
"Wicomico County, Maryland",102539,28080,48959,36.1%
"Worcester County, Maryland",51765,38080,24144,50.4%
"Baltimore city, Maryland",609032,31271,280888,35.4%
"Barnstable County, Massachusetts",213496,44505,105715,53.3%
"Berkshire County, Massachusetts",126425,35616,64008,47.1%
"Bristol County, Massachusetts",561037,35747,284670,41%
"Dukes County, Massachusetts",17312,45990,8730,47.1%
"Essex County, Massachusetts",783676,42347,408720,40.9%
"Franklin County, Massachusetts",70577,35908,36728,46.7%
"Hampden County, Massachusetts",467871,30346,217690,39%
"Hampshire County, Massachusetts",161032,34838,84132,36.5%
"Middlesex County, Massachusetts",1600842,52228,888780,38.5%
"Nantucket County, Massachusetts",11168,55398,6418,40.3%
"Norfolk County, Massachusetts",700437,53889,376303,40.9%
"Plymouth County, Massachusetts",515303,43412,267634,42.7%
"Suffolk County, Massachusetts",796605,42765,441009,32.8%
"Worcester County, Massachusetts",824772,37574,421838,40.2%
"Alcona County, Michigan",10353,25636,3349,58.2%
"Alger County, Michigan",9151,20851,3112,49.5%
"Allegan County, Michigan",116143,29215,55812,39.8%
"Alpena County, Michigan",28520,25957,12665,48.1%
"Antrim County, Michigan",23206,31851,10050,51.3%
"Arenac County, Michigan",15070,24328,5906,50%
"Baraga County, Michigan",8421,22920,2917,45.5%
"Barry County, Michigan",60540,31760,29100,42.5%
"Bay County, Michigan",104104,27469,47048,43.4%
"Benzie County, Michigan",17615,29425,7830,50.2%
"Berrien County, Michigan",154133,30864,71622,42.1%
"Branch County, Michigan",43513,25279,18727,41.2%
"Calhoun County, Michigan",134212,26855,60032,39.8%
"Cass County, Michigan",51523,31295,23869,45.2%
"Charlevoix County, Michigan",26188,33620,12378,48.6%
"Cheboygan County, Michigan",25418,26393,10470,51.1%
"Chippewa County, Michigan",37629,25086,15523,40.5%
"Clare County, Michigan",30651,22573,10891,47.2%
"Clinton County, Michigan",78389,34761,38589,40.6%
"Crawford County, Michigan",13892,26294,5482,50.8%
"Delta County, Michigan",36026,27632,15578,47.4%
"Dickinson County, Michigan",25439,29656,11249,46.7%
"Eaton County, Michigan",109456,33427,53457,40.9%
"Emmet County, Michigan",33104,34074,16414,45.5%
"Genesee County, Michigan",407875,27295,172390,40.5%
"Gladwin County, Michigan",25279,25657,8954,50.1%
"Gogebic County, Michigan",15061,25555,5978,49.3%
"Grand Traverse County, Michigan",92181,35405,46754,42.8%
"Gratiot County, Michigan",40916,23616,16358,39.5%
"Hillsdale County, Michigan",45757,25621,19421,42.3%
"Houghton County, Michigan",36070,23421,15275,33%
"Huron County, Michigan",31349,27852,13883,49.2%
"Ingham County, Michigan",290587,29380,143566,32%
"Ionia County, Michigan",64300,24864,28978,38.7%
"Iosco County, Michigan",25197,25264,9108,52.9%
"Iron County, Michigan",11152,25944,4402,54.3%
"Isabella County, Michigan",70688,23888,33830,28.1%
"Jackson County, Michigan",158636,28364,68695,41.2%
"Kalamazoo County, Michigan",262745,31975,133538,34.4%
"Kalkaska County, Michigan",17585,24358,7355,44.4%
"Kent County, Michigan",648121,32524,335479,35.3%
"Keweenaw County, Michigan",2111,34608,822,57.5%
"Lake County, Michigan",11852,20461,3881,53.2%
"Lapeer County, Michigan",88038,30344,40033,44.1%
"Leelanau County, Michigan",21652,39073,9850,54.1%
"Lenawee County, Michigan",98381,27850,44628,41.9%
"Livingston County, Michigan",189754,40351,97775,43.5%
"Luce County, Michigan",6338,22350,2085,44.7%
"Mackinac County, Michigan",10780,28966,4519,52.8%
"Macomb County, Michigan",870325,32238,427598,40.9%
"Manistee County, Michigan",24457,26668,9518,49.3%
"Marquette County, Michigan",66686,27979,30540,39.1%
"Mason County, Michigan",28954,29549,12825,46.2%
"Mecosta County, Michigan",43251,23431,18616,36.9%
"Menominee County, Michigan",23074,27942,10898,48.8%
"Midland County, Michigan",83355,36142,38139,41.8%
"Missaukee County, Michigan",15028,23838,6322,43.5%
"Monroe County, Michigan",149727,31481,70276,42.6%
"Montcalm County, Michigan",63413,24200,27378,40.7%
"Montmorency County, Michigan",9265,23958,3046,56.1%
"Muskegon County, Michigan",173297,25435,75858,39.3%
"Newaygo County, Michigan",48366,25451,20392,42.4%
"Oakland County, Michigan",1253185,44629,646682,40.9%
"Oceana County, Michigan",26416,24345,11170,43.2%
"Ogemaw County, Michigan",20898,23787,7599,50.4%
"Ontonagon County, Michigan",5877,25022,2033,58.6%
"Osceola County, Michigan",23290,22692,8934,43.8%
"Oscoda County, Michigan",8248,24889,2828,51.8%
"Otsego County, Michigan",24490,27234,10833,44.9%
"Ottawa County, Michigan",286558,31872,148950,35.2%
"Presque Isle County, Michigan",12714,28103,4678,55%
"Roscommon County, Michigan",23851,25807,7944,56.2%
"Saginaw County, Michigan",191821,28030,82783,40.9%
"St. Clair County, Michigan",159247,30703,73161,43.8%
"St. Joseph County, Michigan",60836,26248,28156,39.6%
"Sanilac County, Michigan",41295,25871,17842,45.2%
"Schoolcraft County, Michigan",8048,24647,2985,52.1%
"Shiawassee County, Michigan",68340,28437,31878,42.4%
"Tuscola County, Michigan",52939,25996,22922,44.6%
"Van Buren County, Michigan",75358,28049,34755,41.6%
"Washtenaw County, Michigan",367000,41399,189559,33.6%
"Wayne County, Michigan",1757299,27282,744194,37.9%
"Wexford County, Michigan",33256,25149,14011,41.6%
"Aitkin County, Minnesota",15834,29275,6272,55.5%
"Anoka County, Minnesota",350253,36978,191712,38.5%
"Becker County, Minnesota",34011,31729,16304,41.9%
"Beltrami County, Minnesota",46403,25418,21064,34%
"Benton County, Minnesota",40129,29831,21302,36%
"Big Stone County, Minnesota",4996,29459,2354,49%
"Blue Earth County, Minnesota",66795,29677,38033,31%
"Brown County, Minnesota",25163,31237,13695,42.3%
"Carlton County, Minnesota",35633,29440,16825,41%
"Carver County, Minnesota",101949,47221,56939,37.9%
"Cass County, Minnesota",29268,30326,12654,48.9%
"Chippewa County, Minnesota",11953,30772,6012,41.6%
"Chisago County, Minnesota",55315,35021,29175,41.3%
"Clay County, Minnesota",63446,30768,34306,32.6%
"Clearwater County, Minnesota",8821,27178,3871,42.3%
"Cook County, Minnesota",5376,33194,2634,52.6%
"Cottonwood County, Minnesota",11299,27459,5283,42.9%
"Crow Wing County, Minnesota",64217,32368,30841,44.5%
"Dakota County, Minnesota",421453,41552,233358,37.9%
"Dodge County, Minnesota",20669,34399,11378,38.4%
"Douglas County, Minnesota",37513,36535,19398,44.2%
"Faribault County, Minnesota",13801,29991,7016,45.8%
"Fillmore County, Minnesota",20949,30392,10758,42.3%
"Freeborn County, Minnesota",30463,29316,15095,44%
"Goodhue County, Minnesota",46246,34803,24227,42.2%
"Grant County, Minnesota",5935,32871,2940,44.9%
"Hennepin County, Minnesota",1245837,45768,696128,36.5%
"Houston County, Minnesota",18648,33032,10246,45.3%
"Hubbard County, Minnesota",21019,29896,9495,48.7%
"Isanti County, Minnesota",39430,34054,20397,40%
"Itasca County, Minnesota",45141,30286,19911,46.3%
"Jackson County, Minnesota",9954,34325,5251,44.8%
"Kanabec County, Minnesota",16089,28427,7836,45%
"Kandiyohi County, Minnesota",42841,31039,21982,39.3%
"Kittson County, Minnesota",4311,30539,2232,48.1%
"Koochiching County, Minnesota",12515,29834,5889,49.5%
"Lac qui Parle County, Minnesota",6719,32437,3356,50.4%
"Lake County, Minnesota",10560,34207,4814,50.8%
"Lake of the Woods County, Minnesota",3771,25640,1931,50.9%
"Le Sueur County, Minnesota",28242,33311,15086,41%
"Lincoln County, Minnesota",5677,30253,2786,45.4%
"Lyon County, Minnesota",25758,29634,13437,35.8%
"McLeod County, Minnesota",35832,32465,19062,40.7%
"Mahnomen County, Minnesota",5501,21279,2140,35.7%
"Marshall County, Minnesota",9372,30746,4827,43.7%
"Martin County, Minnesota",19852,31066,9910,45.3%
"Meeker County, Minnesota",23105,32368,11603,42.2%
"Mille Lacs County, Minnesota",25865,27758,12223,40.5%
"Morrison County, Minnesota",33064,29680,16637,41.7%
"Mower County, Minnesota",39807,29720,19254,38.8%
"Murray County, Minnesota",8296,31874,4202,48.1%
"Nicollet County, Minnesota",33954,33031,19230,36.3%
"Nobles County, Minnesota",21734,25939,10744,35.7%
"Norman County, Minnesota",6520,30422,3164,43.8%
"Olmsted County, Minnesota",154809,41066,83119,37.2%
"Otter Tail County, Minnesota",58195,32059,28566,46.8%
"Pennington County, Minnesota",14183,31159,7591,39.6%
"Pine County, Minnesota",29223,26407,12812,45%
"Pipestone County, Minnesota",9191,30540,4302,42.1%
"Polk County, Minnesota",31521,30078,15705,38.7%
"Pope County, Minnesota",11048,34166,5661,45.8%
"Ramsey County, Minnesota",544442,35013,283280,35%
"Red Lake County, Minnesota",4015,30037,1992,42.7%
"Redwood County, Minnesota",15261,28611,7519,42.6%
"Renville County, Minnesota",14652,31253,7189,43.8%
"Rice County, Minnesota",66185,31221,34116,36.5%
"Rock County, Minnesota",9402,31345,4801,40.8%
"Roseau County, Minnesota",15361,30193,8302,41.6%
"St. Louis County, Minnesota",199759,31537,98711,41.1%
"Scott County, Minnesota",145275,42155,80840,36.5%
"Sherburne County, Minnesota",94463,35439,51457,36%
"Sibley County, Minnesota",14892,32016,7935,41.7%
"Stearns County, Minnesota",158452,30994,86326,34.4%
"Steele County, Minnesota",36683,32477,18914,39%
"Stevens County, Minnesota",9789,32542,5383,33.1%
"Swift County, Minnesota",9359,31765,4766,43.9%
"Todd County, Minnesota",24494,26678,11089,43.9%
"Traverse County, Minnesota",3311,32548,1712,47.5%
"Wabasha County, Minnesota",21537,34442,11274,45.2%
"Wadena County, Minnesota",13654,24214,5998,41.5%
"Waseca County, Minnesota",18740,29929,9317,40.5%
"Washington County, Minnesota",255938,45822,137499,39.5%
"Watonwan County, Minnesota",10972,28341,5550,39.9%
"Wilkin County, Minnesota",6291,34543,3256,43.3%
"Winona County, Minnesota",50725,30013,28528,35.2%
"Wright County, Minnesota",134438,36260,72962,37%
"Yellow Medicine County, Minnesota",9814,29908,4924,42.4%
"Adams County, Mississippi",31266,18386,10449,41.4%
"Alcorn County, Mississippi",37090,23909,15323,39.7%
"Amite County, Mississippi",12412,21568,4309,47.1%
"Attala County, Mississippi",18437,21276,6756,39.8%
"Benton County, Mississippi",8232,20643,3010,41.5%
"Bolivar County, Mississippi",31848,18843,10739,35.6%
"Calhoun County, Mississippi",14499,19229,5479,41.4%
"Carroll County, Mississippi",10070,22385,3458,47.6%
"Chickasaw County, Mississippi",17193,19926,6798,37.8%
"Choctaw County, Mississippi",8277,22257,3002,44%
"Claiborne County, Mississippi",9089,14320,2719,33.9%
"Clarke County, Mississippi",15770,23988,6367,42.2%
"Clay County, Mississippi",19640,20599,7037,39.5%
"Coahoma County, Mississippi",23255,18985,8024,34.8%
"Copiah County, Mississippi",28501,20093,10808,38.5%
"Covington County, Mississippi",18978,19180,7324,37.3%
"DeSoto County, Mississippi",178975,30195,88982,36.8%
"Forrest County, Mississippi",75224,22534,32568,32.5%
"Franklin County, Mississippi",7733,23067,2749,42.5%
"George County, Mississippi",23917,22732,8361,36.4%
"Greene County, Mississippi",13645,16006,3352,40.4%
"Grenada County, Mississippi",21088,23135,8317,39.2%
"Hancock County, Mississippi",46961,27462,19631,44.4%
"Harrison County, Mississippi",204502,25415,84893,36.2%
"Hinds County, Mississippi",238797,23734,104928,34.8%
"Holmes County, Mississippi",17737,15291,5061,34.7%
"Humphreys County, Mississippi",8389,18513,2768,38.3%
"Issaquena County, Mississippi",1361,16388,315,42.2%
"Itawamba County, Mississippi",23462,22806,10068,39.9%
"Jackson County, Mississippi",142376,27141,61808,38.8%
"Jasper County, Mississippi",16505,22523,6371,41%
"Jefferson County, Mississippi",7225,14659,1957,40.5%
"Jefferson Davis County, Mississippi",11339,20638,4303,44%
"Jones County, Mississippi",68352,23163,28482,37.5%
"Kemper County, Mississippi",9943,16995,3311,41.4%
"Lafayette County, Mississippi",53590,27765,24997,30.5%
"Lamar County, Mississippi",61969,30062,27710,35.9%
"Lauderdale County, Mississippi",76279,24698,31092,37.8%
"Lawrence County, Mississippi",12633,22980,4604,39.9%
"Leake County, Mississippi",22792,19893,8510,36.9%
"Lee County, Mississippi",85072,26369,38728,37.5%
"Leflore County, Mississippi",29222,18419,9306,34%
"Lincoln County, Mississippi",34320,23541,13394,38.9%
"Lowndes County, Mississippi",59150,26438,24392,37.1%
"Madison County, Mississippi",104562,38901,52872,37.2%
"Marion County, Mississippi",24990,19545,8517,40.8%
"Marshall County, Mississippi",35599,21853,14307,40.4%
"Monroe County, Mississippi",35673,23844,14104,41.1%
"Montgomery County, Mississippi",10068,24054,4038,41.6%
"Neshoba County, Mississippi",29332,19540,11463,37.3%
"Newton County, Mississippi",21360,20787,8047,37%
"Noxubee County, Mississippi",10700,18525,3969,37%
"Oktibbeha County, Mississippi",49512,22512,20699,26.1%
"Panola County, Mississippi",34190,19892,12728,38.3%
"Pearl River County, Mississippi",55219,23920,21710,40.9%
"Perry County, Mississippi",12006,23166,4600,41.9%
"Pike County, Mississippi",39532,17621,13966,37.2%
"Pontotoc County, Mississippi",31618,21191,13307,36.6%
"Prentiss County, Mississippi",25255,19693,9754,39.2%
"Quitman County, Mississippi",7187,15026,2296,38.7%
"Rankin County, Mississippi",152677,30835,74371,37.8%
"Scott County, Mississippi",28332,22203,11243,36.4%
"Sharkey County, Mississippi",4404,19958,1591,41.2%
"Simpson County, Mississippi",26888,23520,10756,39.5%
"Smith County, Mississippi",16009,23698,6257,41.5%
"Stone County, Mississippi",18276,23820,7886,38.7%
"Sunflower County, Mississippi",26168,15646,8212,35.6%
"Tallahatchie County, Mississippi",14158,16742,4340,36.8%
"Tate County, Mississippi",28404,23340,12190,38.2%
"Tippah County, Mississippi",22018,19501,8914,38.8%
"Tishomingo County, Mississippi",19441,20390,7695,42.5%
"Tunica County, Mississippi",9988,20579,4267,33.6%
"Union County, Mississippi",28507,21705,12282,37.9%
"Walthall County, Mississippi",14477,21123,5288,39.8%
"Warren County, Mississippi",46519,25661,19363,39.1%
"Washington County, Mississippi",46057,20174,16375,37.2%
"Wayne County, Mississippi",20373,23668,7893,40.2%
"Webster County, Mississippi",9768,22011,3902,40.5%
"Wilkinson County, Mississippi",8875,15475,2434,37.8%
"Winston County, Mississippi",18229,25263,7109,42.3%
"Yalobusha County, Mississippi",12367,20690,5043,42.5%
"Yazoo County, Mississippi",28565,19972,8876,36.1%
"Adair County, Missouri",25369,22847,10651,27.6%
"Andrew County, Missouri",17503,29338,8417,42.4%
"Atchison County, Missouri",5229,31248,2614,48.5%
"Audrain County, Missouri",25644,23024,10920,39.7%
"Barry County, Missouri",35530,25068,14677,43.7%
"Barton County, Missouri",11797,26509,5135,41.3%
"Bates County, Missouri",16296,27635,7527,41.6%
"Benton County, Missouri",19107,24317,6710,53.6%
"Bollinger County, Missouri",12225,21340,5257,44%
"Boone County, Missouri",177651,30415,93541,31.2%
"Buchanan County, Missouri",88460,26347,41340,37.8%
"Butler County, Missouri",42656,21652,17421,41.3%
"Caldwell County, Missouri",9039,24581,3854,42.3%
"Callaway County, Missouri",44889,25849,20346,38.6%
"Camden County, Missouri",45466,28275,18774,51.5%
"Cape Girardeau County, Missouri",78491,28267,38028,36.5%
"Carroll County, Missouri",8781,25715,3623,43.4%
"Carter County, Missouri",6147,22104,2463,41.7%
"Cass County, Missouri",103597,32868,51635,39.8%
"Cedar County, Missouri",14043,22623,5164,44.7%
"Chariton County, Missouri",7483,23903,3091,45.7%
"Christian County, Missouri",85658,28216,40970,37.9%
"Clark County, Missouri",6779,26490,3132,44%
"Clay County, Missouri",242516,34560,128142,37.1%
"Clinton County, Missouri",20500,29081,9658,41%
"Cole County, Missouri",76723,30422,37598,38.6%
"Cooper County, Missouri",17660,23961,7723,38.7%
"Crawford County, Missouri",24154,22220,9530,41.9%
"Dade County, Missouri",7578,23186,3045,46.2%
"Dallas County, Missouri",16617,23647,6255,44%
"Daviess County, Missouri",8295,24929,3540,41.1%
"DeKalb County, Missouri",12526,20125,4387,40.4%
"Dent County, Missouri",15545,22711,6378,44.7%
"Douglas County, Missouri",13306,21083,4984,47.3%
"Dunklin County, Missouri",30027,21801,11630,40%
"Franklin County, Missouri",103191,30278,50296,40.7%
"Gasconade County, Missouri",14711,28617,7019,46.2%
"Gentry County, Missouri",6616,24269,3027,40.4%
"Greene County, Missouri",289756,27525,139261,36%
"Grundy County, Missouri",9992,23497,4413,40.8%
"Harrison County, Missouri",8491,22032,3637,43.3%
"Henry County, Missouri",21735,26944,9038,44.1%
"Hickory County, Missouri",9404,20736,3183,55%
"Holt County, Missouri",4432,27520,2017,48.5%
"Howard County, Missouri",10058,23753,4648,39.1%
"Howell County, Missouri",40104,21048,16431,40.9%
"Iron County, Missouri",10164,21499,3826,45.7%
"Jackson County, Missouri",696216,31480,350241,36.8%
"Jasper County, Missouri",119920,24484,56376,36.2%
"Jefferson County, Missouri",223951,29999,111769,39.2%
"Johnson County, Missouri",53682,25380,23931,30.5%
"Knox County, Missouri",3947,22326,1563,44.1%
"Laclede County, Missouri",35531,23051,15475,40.3%
"Lafayette County, Missouri",32597,29565,15503,42.3%
"Lawrence County, Missouri",38204,22957,17024,39.4%
"Lewis County, Missouri",9955,22739,4372,40.6%
"Lincoln County, Missouri",56477,26848,26776,37.1%
"Linn County, Missouri",12113,25130,5612,41.8%
"Livingston County, Missouri",15126,23587,6455,40%
"McDonald County, Missouri",22782,20468,9381,37.8%
"Macon County, Missouri",15199,22136,6354,43.3%
"Madison County, Missouri",12179,24418,5005,42.2%
"Maries County, Missouri",8803,26226,3758,46%
"Marion County, Missouri",28608,25069,13038,38.9%
"Mercer County, Missouri",3644,23042,1676,42.9%
"Miller County, Missouri",25201,25827,11415,40.7%
"Mississippi County, Missouri",13574,18549,4513,41.4%
"Moniteau County, Missouri",16046,24224,6944,38%
"Monroe County, Missouri",8629,24697,3846,46.5%
"Montgomery County, Missouri",11487,24682,5105,44.5%
"Morgan County, Missouri",20271,21316,7397,46%
"New Madrid County, Missouri",17560,21419,6745,42%
"Newton County, Missouri",58180,28353,26733,39.9%
"Nodaway County, Missouri",22359,22915,11072,29.7%
"Oregon County, Missouri",10647,18398,3977,46.4%
"Osage County, Missouri",13615,29061,6968,40.8%
"Ozark County, Missouri",9207,18739,3075,51.6%
"Pemiscot County, Missouri",16663,20646,5898,37.9%
"Perry County, Missouri",19191,26609,9395,40.7%
"Pettis County, Missouri",42355,23576,18681,37.8%
"Phelps County, Missouri",44630,25202,19115,35.3%
"Pike County, Missouri",18455,22297,7332,38.9%
"Platte County, Missouri",100682,40567,53924,38.2%
"Polk County, Missouri",31748,22773,14345,37.6%
"Pulaski County, Missouri",52425,23651,17522,27.6%
"Putnam County, Missouri",4781,24758,2060,45.8%
"Ralls County, Missouri",10234,27023,4969,45%
"Randolph County, Missouri",24878,21240,10370,39.4%
"Ray County, Missouri",22875,29524,10953,42.2%
"Reynolds County, Missouri",6290,22720,2601,46.5%
"Ripley County, Missouri",13567,18119,5210,42.3%
"St. Charles County, Missouri",394290,38943,211627,38.6%
"St. Clair County, Missouri",9370,22520,3602,50.3%
"Ste. Genevieve County, Missouri",17848,29742,8870,43.3%
"St. Francois County, Missouri",66643,22578,27298,39.4%
"St. Louis County, Missouri",996919,41426,499482,40.3%
"Saline County, Missouri",22976,22942,10449,37.9%
"Schuyler County, Missouri",4555,19862,1891,40.1%
"Scotland County, Missouri",4902,27706,2010,37.3%
"Scott County, Missouri",38633,24921,16745,40%
"Shannon County, Missouri",8217,17387,2968,45.8%
"Shelby County, Missouri",6013,24304,2905,42.3%
"Stoddard County, Missouri",29377,22138,12370,41.4%
"Stone County, Missouri",31615,29026,12358,53.6%
"Sullivan County, Missouri",6247,22370,2691,42.1%
"Taney County, Missouri",55114,23776,25289,42.2%
"Texas County, Missouri",25604,19973,8906,43.2%
"Vernon County, Missouri",20595,24312,8861,40.8%
"Warren County, Missouri",34453,28641,15937,41%
"Washington County, Missouri",24860,20581,9080,40.8%
"Wayne County, Missouri",13195,19457,4322,47.5%
"Webster County, Missouri",38655,22961,15538,36.7%
"Worth County, Missouri",2027,26137,907,48.1%
"Wright County, Missouri",18203,19850,6629,41.7%
